FID;Country;County;Latitude;Longitude;Region;SiteID;Site;Architecture;LabNumber;C14;STD;Delta13C;Delta15N;Marine resources %;Aquatic resources %;CombineGroup;Material;Context;Source;Main.bibliography;Bibliography;Observations
173;Spain;Southern Meseta;39,991466;-4,209227;Centre;S39;El Castillejo;Tumulus;Beta-132917;5710;150;n/a;n/a;n/a;n/a;n/a;Human bone;Burial, Individual 4;Garcia Sanjuan et al. 2011, Tab. 2;Bueno Ramirez et al 1999;"Garcia Sanjuan  et al 2011, Tab. 2; Bueno Ramirez et al 1999";n/a
174;Spain;Northern Meseta;41,76527778;-5,765277778;Centre;S40;El Miradero;Non-megalithic tumulus;QL-N.R.;4490;20;n/a;n/a;n/a;n/a;n/a;n/a;Burial;http://www.idearqueologia.org/c14/?ln=es#fila-tabla;n/a;n/a;Geographic coordinates approximated
175;Spain;Northern Meseta;41,76527778;-5,765277778;Centre;S40;El Miradero;Non-megalithic tumulus;QL-N.R.;4490;20;n/a;n/a;n/a;n/a;n/a;n/a;Burial;http://www.idearqueologia.org/c14/?ln=es#fila-tabla;n/a;n/a;Geographic coordinates approximated
176;Spain;Northern Meseta;41,76527778;-5,765277778;Centre;S40;El Miradero;Non-megalithic tumulus;GrN-N.R.C;4940;40;n/a;n/a;n/a;n/a;n/a;n/a;Burial;http://www.idearqueologia.org/c14/?ln=es#fila-tabla;n/a;n/a;Geographic coordinates approximated
177;Spain;Northern Meseta;41,76527778;-5,765277778;Centre;S40;El Miradero;Non-megalithic tumulus;GrN-N.R.C;4940;40;n/a;n/a;n/a;n/a;n/a;n/a;Burial;http://www.idearqueologia.org/c14/?ln=es#fila-tabla;n/a;n/a;Geographic coordinates approximated
178;Spain;Northern Meseta;41,76527778;-5,765277778;Centre;S40;El Miradero;Non-megalithic tumulus;GrN-12100;5115;35;n/a;n/a;n/a;n/a;n/a;Charcoal;Burial;MuÅller 1998, 82;n/a;MuÅller 1998, 82;Geographic coordinates approximated
179;Spain;Northern Meseta;41,76527778;-5,765277778;Centre;S40;El Miradero;Non-megalithic tumulus;GrN-N.R.B;5120;25;n/a;n/a;n/a;n/a;n/a;n/a;Burial;http://www.idearqueologia.org/c14/?ln=es#fila-tabla;n/a;n/a;Geographic coordinates approximated
180;Spain;Northern Meseta;41,76527778;-5,765277778;Centre;S40;El Miradero;Non-megalithic tumulus;GrN-N.R.A;5135;45;n/a;n/a;n/a;n/a;n/a;n/a;Burial;http://www.idearqueologia.org/c14/?ln=es#fila-tabla;n/a;n/a;Geographic coordinates approximated
181;Spain;Northern Meseta;41,76527778;-5,765277778;Centre;S40;El Miradero;Non-megalithic tumulus;GrN-12101;5155;35;n/a;n/a;n/a;n/a;n/a;Charcoal;Burial;MuÅller 1998, 82;Cassen et al 1996, 513;"MuÅller 1998, 82; Cassen et al 1996, 513";Geographic coordinates approximated
446;Spain;Southern Meseta;40,081285;-6,37668;Centre;S96;Tremedal;Passage grave;GrA-15941;4860;60;n/a;n/a;n/a;n/a;n/a;Charcoal;Basement tumulus;Ruiz-Galvez Priego 2000;n/a;Ruiz-Galvez Priego 2000;n/a
447;Spain;Southern Meseta;40,081285;-6,37668;Centre;S96;Tremedal;Passage grave;GrA-15903;5000;60;n/a;n/a;n/a;n/a;n/a;Charcoal;Corridor;Ruiz-Galvez Priego 2000;n/a;Ruiz-Galvez Priego 2000;n/a
458;Spain;Southern Meseta;39,98694;-4,20328;Centre;S108;Valle de las Higueras 3;Rock-cut tomb;GX-29950;3650;40;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;Bueno RamÌrez et al. 2010, Tab 3;n/a;Bueno RamÌrez et al. 2010, Tab 3,;n/a
459;Spain;Southern Meseta;39,98694;-4,20328;Centre;S108;Valle de las Higueras 3;Rock-cut tomb;Beta-157730;3810;40;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;Bueno RamÌrez et al. 2010, Tab 3;n/a;Bueno RamÌrez et al. 2010, Tab 3,;n/a
460;Spain;Southern Meseta;39,98694;-4,20328;Centre;S108;Valle de las Higueras 3;Rock-cut tomb;Beta-157732;3830;40;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;Bueno RamÌrez et al. 2010, Tab 3;n/a;Bueno RamÌrez et al. 2010, Tab 3,;n/a
461;Spain;Southern Meseta;39,98694;-4,20328;Centre;S108;Valle de las Higueras 3;Rock-cut tomb;Beta-205141;3860;40;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;Bueno RamÌrez et al. 2010, Tab 3;Bueno RamÌrez et al. 2005;Bueno RamÌrez et al. 2010, Tab 3,Bueno RamÌrez et al. 2005;n/a
462;Spain;Southern Meseta;39,98691;-4,20357;Centre;S109;Valle de las Higueras 7;Rock-cut tomb;Beta-218062;3330;40;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;Bueno RamÌrez et al. 2010, Tab 3;Bueno RamÌrez et al. 2007;Bueno RamÌrez et al. 2010, Tab 3,Bueno RamÌrez et al. 2007;n/a
463;Spain;Southern Meseta;39,98691;-4,20357;Centre;S109;Valle de las Higueras 7;Rock-cut tomb;Beta-216245;3970;40;n/a;n/a;n/a;n/a;n/a;Human bone;n/a;Bueno RamÌrez et al. 2010, Tab 3;Bueno RamÌrez et al. 2007;Bueno RamÌrez et al. 2010, Tab 3,Bueno RamÌrez et al. 2007;n/a
37;Spain;Formentera;38,726533;1,445779;East;S10;Ca na Costa;Dolmen;BM-1677;3270;80;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;IDEArq.org;n/a;IDEArq.org;n/a
38;Spain;Formentera;38,726533;1,445779;East;S10;Ca na Costa;Dolmen;KIA-14330;3535;40;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 62;n/a;Mico Perez 2005, 62;n/a
39;Spain;Formentera;38,726533;1,445779;East;S10;Ca na Costa;Dolmen;KIA-14329;3595;35;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 61;n/a;Mico Perez 2005, 61;n/a
182;Spain;Catalonia;42,017011;2,439391173;East;S41;El Padron II;Non-accessible dolmen;UBAR-116;5580;130;n/a;n/a;n/a;n/a;n/a;Charcoal;From tumulus or chamber, burial with Montbol¢ material;Cruells et al. 1992, 245;Mestres Torres et al 1996;Cruells et al 1992, 245;n/a
183;Spain;Catalonia;42,017011;2,439391173;East;S41;El Padron II;Non-accessible dolmen;UBAR-113;5600;130;n/a;n/a;n/a;n/a;n/a;Charcoal;From tumulus or chamber, burial with Montbol¢ material;Cruells et al. 1992, 245;Mestres Torres et al 1996;Cruells et al 1992, 245;n/a
184;Spain;Catalonia;42,017011;2,439391173;East;S41;El Padron II;Non-accessible dolmen;UBAR-114;5770;80;n/a;n/a;n/a;n/a;n/a;Charcoal;From tumulus or chamber, burial with Montbol¢ material;Cruells et al. 1992, 245;Mestres Torres et al 1996;Cruells et al 1992, 245;n/a
185;Spain;Catalonia;42,017011;2,439391173;East;S41;El Padron II;Non-accessible dolmen;UBAR-115;5870;100;n/a;n/a;n/a;n/a;n/a;Charcoal;From tumulus or chamber, burial with Montbol¢ material;Cruells et al. 1992, 245;Mestres Torres et al 1996;Cruells et al 1992, 245;n/a
188;Spain;Catalonia;42,026252;2,432110532;East;S43;Font de la Venta;Non-accessible dolmen;UBAR-60;5780;290;n/a;n/a;n/a;n/a;n/a;Charcoal;From tumulus or chamber, burial with Montbol¢ material;Cruells et al. 1992, 245;Mestres Torres et al 1991;Cruells et al 1992, 245;Dates are older than expected by archaeologists according to Mestres Torres et al. 1991, 359
189;Spain;Catalonia;42,026252;2,432110532;East;S43;Font de la Venta;Non-accessible dolmen;UBAR-61;6190;100;n/a;n/a;n/a;n/a;n/a;Charcoal;From tumulus or chamber, burial with Montbol¢ material;Cruells et al. 1992, 245;Mestres Torres et al 1991;Cruells et al 1992, 245;Dates are older than expected by archaeologists according to Mestres Torres et al. 1991, 359
207;Spain;Catalonia;41,630741;1,559597226;East;S48;Les Maioles;Dolmen;UBAR-559;3465;50;n/a;n/a;n/a;n/a;n/a;Human bone;Individual A;http://www.telearchaeology.com/c14/db.aspx, 14.01.2011;n/a;http://www.telearchaeology.com/c14/db.aspx, 14.01.2011,;n/a
208;Spain;Catalonia;41,630741;1,559597226;East;S48;Les Maioles;Dolmen;UBAR-558;3475;50;n/a;n/a;n/a;n/a;n/a;Human bone;Individual E;http://www.telearchaeology.com/c14/db.aspx, 14.01.2011;n/a;http://www.telearchaeology.com/c14/db.aspx, 14.01.2011,;n/a
209;Spain;Catalonia;41,630741;1,559597226;East;S48;Les Maioles;Dolmen;UBAR-560;3495;50;n/a;n/a;n/a;n/a;n/a;Human bone;Individual B;http://www.telearchaeology.com/c14/db.aspx, 14.01.2011;n/a;http://www.telearchaeology.com/c14/db.aspx, 14.01.2011,;n/a
275;Spain;Menorca;39,89721639;4,18998256;East;S65;Montple;Dolmen;OxA-5810;3280;65;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 229;n/a;Mico Perez 2005, 229;n/a
276;Spain;Menorca;39,89721639;4,18998256;East;S65;Montple;Dolmen;OxA-5807;3405;60;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 229;n/a;Mico Perez 2005, 229;n/a
277;Spain;Menorca;39,89721639;4,18998256;East;S65;Montple;Dolmen;OxA-5808;3410;60;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 228;n/a;Mico Perez 2005, 228;n/a
278;Spain;Menorca;39,89721639;4,18998256;East;S65;Montple;Dolmen;OxA-5806;3415;75;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 228;n/a;Mico Perez 2005, 228;n/a
279;Spain;Menorca;39,89721639;4,18998256;East;S65;Montple;Dolmen;OxA-5811;3425;65;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 226;n/a;Mico Perez 2005, 226;n/a
280;Spain;Menorca;39,89721639;4,18998256;East;S65;Montple;Dolmen;IRPA-1183;3435;35;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 227;n/a;Mico Perez 2005, 227;n/a
281;Spain;Menorca;39,89721639;4,18998256;East;S65;Montple;Dolmen;OxA-5809;3460;65;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 226;n/a;Mico Perez 2005, 226;n/a
385;Spain;Mallorca;39,750018;3,303303;East;S89;SAigua Dolca;Dolmen;UtC-4739;3365;30;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 255;n/a;Mico Perez 2005, 255;n/a
386;Spain;Mallorca;39,750018;3,303303;East;S89;SAigua Dolca;Dolmen;UtC-4736;3380;40;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 255;n/a;Mico Perez 2005, 255;n/a
387;Spain;Mallorca;39,750018;3,303303;East;S89;SAigua Dolca;Dolmen;KIA-15224;3420;30;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 254;n/a;Mico Perez 2005, 254;n/a
388;Spain;Mallorca;39,750018;3,303303;East;S89;SAigua Dolca;Dolmen;UtC-4744;3460;40;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez  2005, 254;n/a;Mico Perez  2005, 254;n/a
389;Spain;Mallorca;39,750018;3,303303;East;S89;SAigua Dolca;Dolmen;KIA-15223;3485;40;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez  2005, 253;n/a;Mico Perez  2005, 253;n/a
403;Spain;Menorca;39,897395;4,112584;East;S92;Ses Roques Llises;Passage grave;KIA-18762;3030;40;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 303;n/a;Mico Perez 2005, 303;n/a
404;Spain;Menorca;39,897395;4,112584;East;S92;Ses Roques Llises;Passage grave;KIA-20204;3135;35;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 303;n/a;Mico Perez 2005, 303;n/a
405;Spain;Menorca;39,897395;4,112584;East;S92;Ses Roques Llises;Passage grave;KIA- 18761;3395;35;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 303;n/a;Mico Perez 2005, 303;n/a
406;Spain;Menorca;39,897395;4,112584;East;S92;Ses Roques Llises;Passage grave;KIA-21225;2890;25;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 304;n/a;Mico Perez 2005, 304;n/a
407;Spain;Menorca;39,897395;4,112584;East;S92;Ses Roques Llises;Passage grave;KIA-18767;2955;30;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 304;n/a;Mico Perez 2005, 304;n/a
439;Spain;Mallorca;39,754016;3,158784;East;S94;Son Baulo de Dalt;Dolmen;KIA-11903;3305;25;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez  2005, 312;n/a;Mico Perez  2005, 312;n/a
440;Spain;Mallorca;39,754016;3,158784;East;S94;Son Baulo de Dalt;Dolmen;KIA-13225;3365;30;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 311;n/a;Mico Perez 2005, 311;n/a
441;Spain;Mallorca;39,754016;3,158784;East;S94;Son Baulo de Dalt;Dolmen;UBAR-385;3470;120;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez  2005, 310;n/a;Mico Perez  2005, 310;n/a
442;Spain;Mallorca;39,754016;3,158784;East;S94;Son Baulo de Dalt;Dolmen;KIA-13224;3480;30;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;Mico Perez 2005, 310;n/a;Mico Perez 2005, 310;n/a
8;Spain;Andalusia;42,62562368;-8,93752958;North;S102;Alto da Barreira;Megalithic grave/tumulus;CSIC-1038;2840;40;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
9;Spain;Andalusia;42,62562368;-8,93752958;North;S102;Alto da Barreira;Megalithic grave/tumulus;CSIC-1039;6030;30;n/a;n/a;n/a;n/a;n/a;Charcoal;Debris tumulus;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;Alonso/Bello 1997;"Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294; Alonso/Bello 1997";n/a
23;Spain;Northern Meseta;42,71583333;-3,679166667;North;S6;Arnillas;Passage grave;GrN-12124;4575;40;n/a;n/a;n/a;n/a;n/a;Human bone;Entrance chamber layer 6;Boaventura 2009, annex 33;Alonso/Rojo 1987;"Boaventura 2009, annex 33; Alonso/Rojo 1987";n/a
24;Spain;Northern Meseta;42,71583333;-3,679166667;North;S6;Arnillas;Passage grave;GrN-18671;4720;150;n/a;n/a;n/a;n/a;n/a;Charcoal;Layer 3;Boaventura 2009, annex 33;Delibes de Castro/Rojo Guerra 1997 ;"Boaventura 2009, annex 33; Delibes de Castro/Rojo Guerra 1997 ";n/a
35;Spain;Cantabria;43,1756756;-3,4122779;North;S9;Boheriza 2;Dolmen;Ua-3229;5200;75;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;Cabal et al 2000, 131;de Blas 1999;"Cabal et al 2000, 131; de Blas 1999";n/a
36;Spain;Cantabria;43,1756756;-3,4122779;North;S9;Boheriza 2;Dolmen;Ua-3228;5500;100;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;Cabal et al 2000, 131;de Blas 1999;"Cabal et al 2000, 131; de Blas 1999";n/a
72;Spain;Galicia;42,93954;-8,39583;North;S20;Catasol 2;Megalithic grave/tumulus;CSIC-984;5470;35;n/a;n/a;n/a;n/a;n/a;Charcoal;Surface ancient soil,chamber not excavated;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;Filgueiras Rey 1992;"Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294; Filgueiras Rey 1992";n/a
73;Spain;Galicia;42,93954;-8,39583;North;S20;Catasol 2;Megalithic grave/tumulus;CSIC-985;5680;35;n/a;n/a;n/a;n/a;n/a;Charcoal;From the tumulus, chamber not excavated;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;Alonso/Bello 1997;"Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294; Alonso/Bello 1997";n/a
84;Spain;Galicia;42,37536;-8,64661;North;S26;Chan da Cruz 1;Megalithic grave/tumulus;CSIC-642;5210;50;n/a;n/a;n/a;n/a;n/a;Charcoal;n/a;Boaventura 2009, Tab. 31;n/a;"Boaventura 2009, annex 3; Cruz 1995";n/a
85;Spain;Galicia;42,37536;-8,64661;North;S26;Chan da Cruz 1;Megalithic grave/tumulus;GaK-11395;5890;120;n/a;n/a;n/a;n/a;n/a;Charcoal;Hearth ancient soil;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;Fabregas Valcarce 1988;Fabregas Vilcarce/Vilaseco Vazquez 2003, 293-294,Fabregas Valcarce 1988;n/a
112;Spain;North;42,306404;-2,447693;North;S27;Collado del Mallo;Megalithic grave;Beta-89990;3840;70;n/a;n/a;n/a;n/a;n/a;Human bone;Entrance chamber;Boaventura 2009, annex 33;Lopez de Calle/Llarraza 1997;"Boaventura 2009, annex 33; Lopez de Calle/Llarraza 1997";n/a
113;Spain;North;42,306404;-2,447693;North;S27;Collado del Mallo;Megalithic grave;Beta-89988;3860;70;n/a;n/a;n/a;n/a;n/a;Human bone;Chamber;http://www.idearqueologia.org/c14/?ln=es#fila-tabla;n/a;n/a;n/a
114;Spain;North;42,306404;-2,447693;North;S27;Collado del Mallo;Megalithic grave;Beta-89991;3950;80;n/a;n/a;n/a;n/a;n/a;Human bone;Layer B corridor;http://www.idearqueologia.org/c14/?ln=es#fila-tabla;n/a;n/a;n/a
115;Spain;North;42,306404;-2,447693;North;S27;Collado del Mallo;Megalithic grave;Beta-89989;4000;70;n/a;n/a;n/a;n/a;n/a;Human bone;Entrance chamber;Boaventura 2009, annex 33;Lopez de Calle/Llarraza 1997;"Boaventura 2009, annex 33; Lopez de Calle/Llarraza 1997";n/a
116;Spain;North;42,306404;-2,447693;North;S27;Collado del Mallo;Megalithic grave;Beta-89987;4430;70;n/a;n/a;n/a;n/a;n/a;Human bone;Layer C corridor;http://www.idearqueologia.org/c14/?ln=es#fila-tabla;n/a;n/a;n/a
117;Spain;North;42,306404;-2,447693;North;S27;Collado del Mallo;Megalithic grave;Beta-89986;4700;90;n/a;n/a;n/a;n/a;n/a;Human bone;Layer C corridor;Boaventura 2009, annex 33;Lopez de Calle/Llarraza 1997;"Boaventura 2009, annex 33; Lopez de Calle/Llarraza 1997";n/a
118;Spain;North;42,26916667;-2,523888889;North;S28;Collado Palomero 1;Megalithic grave;CSIC-970;3680;20;n/a;n/a;n/a;n/a;n/a;Human bone;Layer A1;http://www.idearqueologia.org/c14/?ln=es#fila-tabla;n/a;n/a;n/a
119;Spain;North;42,26916667;-2,523888889;North;S28;Collado Palomero 1;Megalithic grave;CSIC-1065;4270;60;n/a;n/a;n/a;n/a;n/a;Human bone;Layer B2;Boaventura 2009, annex 33;Lopez de Calle/Llarraza 1997;"Boaventura 2009, annex 33; Lopez de Calle/Llarraza 1997";n/a
120;Spain;North;42,26916667;-2,523888889;North;S28;Collado Palomero 1;Megalithic grave;CSIC-952;4730;30;n/a;n/a;n/a;n/a;n/a;Charcoal;Layer B1;Boaventura 2009, annex 33;Lopez de Calle/Llarraza 1997;"Boaventura 2009, annex 33; Lopez de Calle/Llarraza 1997";n/a
123;Spain;Galicia;42,72267;-7,90688;North;S30;Coto dos Mouros;Passage grave;CAMS-83116;3830;60;n/a;n/a;n/a;n/a;n/a;Charcoal;Painting with black charcoal;Steelman et al 2005, 385;n/a;Steelman et al 2005, 385;n/a
124;Spain;Galicia;42,72267;-7,90688;North;S30;Coto dos Mouros;Passage grave;CAMS-83631;5540;70;n/a;n/a;n/a;n/a;n/a;Charcoal;Painting with black charcoal;Steelman et al 2005, 385;n/a;Steelman et al 2005, 385;n/a
125;Spain;Galicia;42,21633697;-8,64663257;North;S31;Cotogrande 1;Non-accessible dolmen;GrN-18420;4940;80;n/a;n/a;n/a;n/a;n/a;Charcoal;Basement tumulus (cairn);Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
126;Spain;Galicia;42,21633697;-8,64663257;North;S31;Cotogrande 1;Non-accessible dolmen;GrN-17698;5239;80;n/a;n/a;n/a;n/a;n/a;Charcoal;Surface ancient soil in Chamber;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;Abad 1992/1993;"Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294; Abad 1992/93";n/a
127;Spain;Galicia;42,2188267;-8,6392398;North;S32;Cotogrande 5;Dolmen;GrN-19565;4065;45;n/a;n/a;n/a;n/a;n/a;Charcoal;Debris tumulus;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
128;Spain;Galicia;42,2188267;-8,6392398;North;S32;Cotogrande 5;Dolmen;GrN-19566;4390;50;n/a;n/a;n/a;n/a;n/a;Charcoal;Debris tumulus;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;Abad 1992/1993;"Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294; Abad 1992/93";n/a
135;Spain;Galicia;43,19012;-8,96944;North;S35;Dombate new;Passage grave;UtC-3201;3950;60;n/a;n/a;n/a;n/a;n/a;Charcoal;Chamber;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
136;Spain;Galicia;43,19012;-8,96944;North;S35;Dombate new;Passage grave;CSIC-962;4020;30;n/a;n/a;n/a;n/a;n/a;Charcoal;Surface tumulus;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
137;Spain;Galicia;43,19012;-8,96944;North;S35;Dombate new;Passage grave;CSIC-1066;4090;60;n/a;n/a;n/a;n/a;n/a;Charcoal;Surface tumulus;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
138;Spain;Galicia;43,19012;-8,96944;North;S35;Dombate new;Passage grave;CSIC-948;4200;30;n/a;n/a;n/a;n/a;n/a;Charcoal;Surface tumulus;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
139;Spain;Galicia;43,19012;-8,96944;North;S35;Dombate new;Passage grave;CSIC-892;4230;70;n/a;n/a;n/a;n/a;n/a;Charcoal;Entrance area;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
140;Spain;Galicia;43,19012;-8,96944;North;S35;Dombate new;Passage grave;CSIC-963;4380;35;n/a;n/a;n/a;n/a;n/a;Charcoal;Surface tumulus;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
141;Spain;Galicia;43,19012;-8,96944;North;S35;Dombate new;Passage grave;CSIC-939;4410;25;n/a;n/a;n/a;n/a;n/a;Charcoal;Surface tumulus;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
142;Spain;Galicia;43,19012;-8,96944;North;S35;Dombate new;Passage grave;CSIC-941;4430;25;n/a;n/a;n/a;n/a;n/a;Charcoal;Surface tumulus;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
143;Spain;Galicia;43,19012;-8,96944;North;S35;Dombate new;Passage grave;UtC-3202;4430;50;n/a;n/a;n/a;n/a;n/a;Charcoal;Chamber;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
144;Spain;Galicia;43,19012;-8,96944;North;S35;Dombate new;Passage grave;CSIC-893;4450;70;n/a;n/a;n/a;n/a;n/a;Charcoal;Surface tumulus;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
145;Spain;Galicia;43,19012;-8,96944;North;S35;Dombate new;Passage grave;CSIC-940;4450;70;n/a;n/a;n/a;n/a;n/a;Charcoal;Surface tumulus;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a;Fabregas Valcarce/Vilaseco Vazquez 2003, 293-294;n/a
